$Date;$Time;FH11_Z4_TEMP_SP;FH11_Z4_TEMP_PV;FH11_Z3_TEMP_PV;FH11_Z3_TEMP_MT;FH11_Z3_TEMP_MB;FH11_Z4_TEMP_MB;FH11_Z4_TEMP_MM;FH11_Z4_TEMP_MT;FH11_Z4_MIX_VLV_POS_PV;FH11_Z4_MIX_PRES_PV;FH11_Z4_MIX_PRES_LL;FH11_Z4_MIX_PRES_HL;FH11_PULL;FU_PULL
08/17/17;10:37:16;1157;1156.655;1158.391;1158.391;1162.008;1161.285;1159.259;1156.655;23.64005;1.623264;0.6;6;46.01521;90.89281
08/17/17;10:37:17;1157;1156.655;1158.391;1158.391;1162.008;1161.285;1159.259;1156.655;23.64005;1.637731;0.6;6;46.01521;90.89281
08/17/17;10:37:18;1157;1156.8;1158.391;1158.391;1162.008;1161.14;1159.259;1156.8;23.64005;1.605903;0.6;6;46.01521;90.89281
08/17/17;10:37:19;1157;1156.8;1158.391;1158.391;1162.008;1161.14;1159.115;1156.8;23.64005;1.61169;0.6;6;46.01521;90.89281
08/17/17;10:37:20;1157;1156.655;1158.391;1158.391;1162.008;1160.995;1159.259;1156.655;23.64005;1.626157;0.6;6;46.01521;90.89281
08/17/17;10:37:21;1157;1156.8;1158.391;1158.391;1162.008;1160.995;1159.115;1156.8;23.64005;1.62037;0.6;6;46.01521;90.89281
08/17/17;10:37:22;1157;1156.655;1158.391;1158.391;1162.008;1160.995;1159.115;1156.655;23.64005;1.62037;0.6;6;46.01521;90.89281
08/17/17;10:37:23;1157;1156.8;1158.247;1158.247;1162.008;1160.995;1159.115;1156.8;23.64005;1.623264;0.6;6;46.01521;90.89281
08/17/17;10:37:24;1157;1156.8;1158.391;1158.391;1161.863;1160.995;1159.259;1156.8;23.64005;1.605903;0.6;6;46.01521;90.89281
08/17/17;10:37:25;1157;1156.655;1158.247;1158.247;1161.863;1160.995;1159.115;1156.655;23.64005;1.61169;0.6;6;46.01521;90.89281
08/17/17;10:37:26;1157;1156.8;1158.247;1158.247;1161.863;1160.995;1159.115;1156.8;23.64005;1.626157;0.6;6;46.01521;90.89281
08/17/17;10:37:27;1157;1156.655;1158.247;1158.247;1161.863;1160.995;1159.115;1156.655;23.64005;1.623264;0.6;6;46.01521;90.89281
08/17/17;10:37:28;1157;1156.8;1158.247;1158.247;1161.863;1161.14;1159.115;1156.8;23.64005;1.605903;0.6;6;46.01521;90.89281
08/17/17;10:37:29;1157;1156.655;1158.247;1158.247;1161.863;1160.995;1159.115;1156.655;23.64005;1.623264;0.6;6;46.01521;90.89281
08/17/17;10:37:30;1157;1156.8;1158.247;1158.247;1161.863;1160.995;1159.115;1156.8;23.64005;1.626157;0.6;6;46.01521;90.89281
08/17/17;10:37:31;1157;1156.655;1158.247;1158.247;1161.863;1160.706;1159.115;1156.655;23.64005;1.631944;0.6;6;46.01521;90.89281
08/17/17;10:37:32;1157;1156.8;1158.247;1158.247;1161.863;1160.706;1159.115;1156.8;23.64005;1.608796;0.6;6;46.01521;90.89281
08/17/17;10:37:33;1157;1156.8;1158.247;1158.247;1161.863;1160.706;1159.115;1156.8;23.64005;1.61169;0.6;6;46.01521;90.89281
08/17/17;10:37:34;1157;1156.8;1158.247;1158.247;1161.863;1160.995;1159.115;1156.8;23.64005;1.617477;0.6;6;46.01521;90.89281
08/17/17;10:37:35;1157;1156.8;1158.247;1158.247;1161.863;1160.995;1159.115;1156.8;23.64005;1.626157;0.6;6;46.01521;90.89281
08/17/17;10:37:36;1157;1156.8;1158.247;1158.247;1161.863;1160.995;1159.115;1156.8;23.64005;1.608796;0.6;6;46.01521;90.89281
08/17/17;10:37:37;1157;1156.8;1158.247;1158.247;1161.863;1160.995;1159.115;1156.8;23.64005;1.62037;0.6;6;46.01521;90.89281
08/17/17;10:37:38;1157;1156.8;1158.247;1158.247;1161.863;1160.706;1159.115;1156.8;23.64005;1.617477;0.6;6;46.01521;90.89281
08/17/17;10:37:39;1157;1156.8;1158.247;1158.247;1161.863;1160.706;1159.115;1156.8;23.64005;1.617477;0.6;6;46.01521;90.89281
08/17/17;10:37:40;1157;1156.8;1158.247;1158.247;1161.719;1160.995;1159.115;1156.8;23.64005;1.62037;0.6;6;46.01521;90.89281
08/17/17;10:37:41;1157;1156.8;1158.247;1158.247;1161.719;1160.706;1159.115;1156.8;23.64005;1.623264;0.6;6;46.01521;90.89281
08/17/17;10:37:42;1157;1156.8;1158.247;1158.247;1161.719;1160.706;1159.115;1156.8;23.64005;1.617477;0.6;6;46.01521;90.89281
08/17/17;10:37:43;1157;1156.8;1158.247;1158.247;1161.719;1160.706;1159.115;1156.8;23.64005;1.617477;0.6;6;46.01521;90.89281
08/17/17;10:37:44;1157;1156.8;1158.102;1158.102;1161.719;1160.706;1158.97;1156.8;23.64005;1.594329;0.6;6;46.01521;90.89281
08/17/17;10:37:45;1157;1156.8;1158.102;1158.102;1161.719;1160.706;1159.115;1156.8;23.64005;1.605903;0.6;6;46.01521;90.89281
08/17/17;10:37:46;1157;1156.8;1158.102;1158.102;1161.719;1160.706;1158.97;1156.8;23.64005;1.61169;0.6;6;46.01521;90.89281
08/17/17;10:37:47;1157;1156.8;1158.247;1158.247;1161.719;1160.706;1158.97;1156.8;23.64005;1.61169;0.6;6;46.01521;90.89281
08/17/17;10:37:48;1157;1156.8;1158.247;1158.247;1161.719;1160.561;1158.97;1156.8;23.64005;1.61169;0.6;6;46.01521;90.89281
08/17/17;10:37:49;1157;1156.8;1158.247;1158.247;1161.719;1160.561;1158.97;1156.8;23.64005;1.62037;0.6;6;46.01521;90.89281
08/17/17;10:37:50;1157;1156.8;1158.102;1158.102;1161.429;1160.706;1158.97;1156.8;23.64005;1.62037;0.6;6;46.01521;90.89281
08/17/17;10:37:51;1157;1156.8;1158.102;1158.102;1161.719;1160.706;1158.97;1156.8;23.64005;1.62037;0.6;6;46.01521;90.89281
08/17/17;10:37:52;1157;1156.8;1158.247;1158.247;1161.429;1160.706;1158.97;1156.8;23.64005;1.608796;0.6;6;46.01521;90.89281
08/17/17;10:37:53;1157;1156.8;1158.247;1158.247;1161.429;1160.561;1158.97;1156.8;23.64005;1.62037;0.6;6;46.01521;90.89281
08/17/17;10:37:54;1157;1156.8;1158.102;1158.102;1161.429;1160.561;1158.97;1156.8;23.64005;1.608796;0.6;6;46.01521;90.89281
08/17/17;10:37:55;1157;1156.8;1158.102;1158.102;1161.429;1160.561;1158.825;1156.8;23.64005;1.608796;0.6;6;46.01521;90.89281
